taskid; title; points; description;
1; Assignment 1; 4; Description \textcolor{javapurple}{Text 2}; 
2; Assignment 2; 8; ; 
2a; ; 2; Text $\sqrt{6}$; 
2b; ; 4; Text [3]; 
2c; ; 1; Explanation $[3 + 3]$\newline $\Rightarrow$ Explanation) 3; 
2d; ; 1; \textcolor{javapurple}{Text 2}; 
3; Assignment 3; 5; ; 
3a; ; 1; \textcolor{javapurple}{Text 2}; 
3b; ; 4; Text [3]; 
4; Assignment 4; 5; ; 
4a; ; 1; Text [3]; 
4b; ; 3; \textcolor{javapurple}{Text 2}; 
4c; ; 1; Text [3]; 
5; Assignment 5; 11; ; 
5a; ; 4; Text [3]; 
5b; ; 4; Text [3]; 
5c; ; 1; Text $\sqrt{6}$; 
5d; ; 2; Text 4,5; 
