taskid; title; points; description;
1; Assignment 1; 9; ;
1a; ; 4; Text $\sqrt{6}$;
1b; ; 1; \textcolor{javapurple}{Text 2};
1c; ; 4; \textbf{Text 1};
2; Assignment 2; 6; ;
2a; ; 1; \textbf{Text 1};
2b; ; 4; Explanation 2a\newline Explanation( 2b;
2c; ; 1; \textbf{Text 1};
3; Assignment 3; 9; ;
3a; ; 2; Text 4,5;
3b; ; 1; Text 4,5;
3c; ; 2; Text [3];
3d; ; 4; Explanation 2a\newline Explanation( 2b;
4; Assignment 4; 4; Description Text $\sqrt{6}$;
5; Assignment 5; 3; Description \begin{itemize}\item Topic 1\item Topic 2\end{itemize};
